,GALAXY_AGN,GALAXY_AGN_BROADLINE,GALAXY_BROADLINE,GALAXY_NORMAL,GALAXY_STARBURST,GALAXY_STARFORMING,QSO_AGN,QSO_AGN_BROADLINE,QSO_BROADLINE,QSO_NORMAL,QSO_STARBURST,QSO_STARBURST_BROADLINE,QSO_STARFORMING,STAR_A0,STAR_A1,STAR_A2,STAR_A4,STAR_A5,STAR_A6,STAR_A8,STAR_A9,STAR_A_METALLIC,STAR_B0,STAR_B1,STAR_B2_B2_5,STAR_B3,STAR_B5,STAR_B8,STAR_B9_B9_5,STAR_BROWN_DWARF_L,STAR_CV,STAR_F0,STAR_F2,STAR_F3,STAR_F5,STAR_F6,STAR_F8,STAR_F9,STAR_G0_G0_5,STAR_G1,STAR_G3,STAR_G4,STAR_G5,STAR_G8,STAR_G9,STAR_K0,STAR_K1,STAR_K2,STAR_K3,STAR_K4,STAR_K5,STAR_M0,STAR_M1,STAR_M2,STAR_M3,STAR_M4_M4_5,STAR_M5,STAR_M6,STAR_M8,STAR_O8,STAR_SUBDWARF_F,STAR_WHITE_DWARF
STAR_G0_G0_5,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0010666666666666667,0.0002666666666666667,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0013333333333333333,0.0,0.0088,0.0010666666666666667,0.0008,0.0128,0.0576,0.021866666666666666,0.7293333333333333,0.025066666666666668,0.072,0.0312,0.010666666666666666,0.0016,0.0024,0.0048,0.0026666666666666666,0.0,0.0002666666666666667,0.0029333333333333334,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0002666666666666667,0.0005333333333333334,0.0037333333333333333,0.0005333333333333334
STAR_G1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007331378299120235,0.0,0.005131964809384164,0.032991202346041054,0.008797653958944282,0.026392961876832845,0.8504398826979472,0.004398826979472141,0.06158357771260997,0.0007331378299120235,0.0021994134897360706,0.001466275659824047,0.0036656891495601175,0.0,0.0,0.0007331378299120235,0.0,0.0,0.0,0.0,0.0007331378299120235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAR_G3,0.0,0.0,0.0005065856129685917,0.001519756838905775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010131712259371835,0.0,0.0025329280648429585,0.0005065856129685917,0.0,0.0,0.0025329280648429585,0.0,0.02127659574468085,0.0010131712259371835,0.8622087132725431,0.0005065856129685917,0.07497467071935157,0.0,0.001519756838905775,0.005572441742654508,0.00911854103343465,0.0,0.0005065856129685917,0.0121580547112462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005065856129685917,0.002026342451874367,0.0,0.0
STAR_G4,0.0,0.0,0.0005379236148466917,0.0005379236148466917,0.0,0.0,0.0,0.0,0.0,0.0005379236148466917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026896180742334586,0.0,0.0,0.0,0.0,0.0,0.00026896180742334586,0.0,0.0,0.010220548682087143,0.0053792361484669175,0.029047875201721356,0.06024744486282948,0.004303388918773534,0.8509951586874663,0.0029585798816568047,0.02097902097902098,0.008606777837547068,0.0037654653039268424,0.0005379236148466917,0.0,0.0,0.0,0.0,0.0,0.0005379236148466917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026896180742334586
STAR_G5,0.0,0.0,0.0,0.003486529318541997,0.0,0.0006339144215530904,0.0,0.0,0.0,0.0003169572107765452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003169572107765452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003169572107765452,0.001901743264659271,0.0,0.0,0.0,0.0,0.0,0.001584786053882726,0.0003169572107765452,0.007606973058637084,0.0003169572107765452,0.05039619651347068,0.006656101426307449,0.8516640253565768,0.001584786053882726,0.012044374009508717,0.011093502377179081,0.007290015847860539,0.003486529318541997,0.001584786053882726,0.03518225039619651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003169572107765452,0.001584786053882726,0.0,0.0003169572107765452
STAR_G8,0.0,0.0,0.0,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945179584120983,0.000630119722747322,0.001575299306868305,0.002205419029615627,0.0,0.01921865154379332,0.00315059861373661,0.8683049779458097,0.02488972904851922,0.0645872715816005,0.001575299306868305,0.0,0.009766855702583491,0.000315059861373661,0.000630119722747322,0.0,0.000315059861373661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAR_G9,0.0,0.0,0.0,0.007792207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0,0.01038961038961039,0.007792207792207792,0.005194805194805195,0.01818181818181818,0.023376623376623377,0.025974025974025976,0.825974025974026,0.023376623376623377,0.005194805194805195,0.0,0.007792207792207792,0.02077922077922078,0.0025974025974025974,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0,0.0
STAR_K0,0.0,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0024,0.0,0.0056,0.0016,0.0128,0.0008,0.0192,0.039733333333333336,0.0072,0.7992,0.07626666666666666,0.004533333333333334,0.020533333333333334,0.0072,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0
STAR_K1,0.0,0.0,0.0,0.0033812341504649195,0.0,0.0016906170752324597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016906170752324597,0.0016906170752324597,0.0,0.0033812341504649195,0.0,0.024513947590870666,0.0008453085376162299,0.011834319526627219,0.0,0.005917159763313609,0.03888419273034658,0.8250211327134404,0.032121724429416736,0.01098901098901099,0.028740490278951817,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016906170752324597,0.0,0.0016906170752324597
STAR_K2,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011299435028248588,0.0,0.002824858757062147,0.011299435028248588,0.05649717514124294,0.8728813559322034,0.011299435028248588,0.02824858757062147,0.0,0.002824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
