n_per_class,method,seed,accuracy
2,classical_rbf,0,0.284105
2,classical_rbf,1,0.352941
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.441802
2,classical_rbf,4,0.389237
2,classical_rbf,5,0.450563
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.196496
2,qsvm_fidelity,0,0.306633
2,qsvm_fidelity,1,0.296621
2,qsvm_fidelity,2,0.327910
2,qsvm_fidelity,3,0.377972
2,qsvm_fidelity,4,0.400501
2,qsvm_fidelity,5,0.435544
2,qsvm_fidelity,6,0.414268
2,qsvm_fidelity,7,0.193992
2,qsvm_projected,0,0.240300
2,qsvm_projected,1,0.346683
2,qsvm_projected,2,0.310388
2,qsvm_projected,3,0.418023
2,qsvm_projected,4,0.256571
2,qsvm_projected,5,0.364205
2,qsvm_projected,6,0.297872
2,qsvm_projected,7,0.183980
5,classical_rbf,0,0.501877
5,classical_rbf,1,0.408010
5,classical_rbf,2,0.455569
5,classical_rbf,3,0.498123
5,classical_rbf,4,0.385482
5,classical_rbf,5,0.350438
5,classical_rbf,6,0.483104
5,classical_rbf,7,0.331665
5,qsvm_fidelity,0,0.539424
5,qsvm_fidelity,1,0.484355
5,qsvm_fidelity,2,0.344180
5,qsvm_fidelity,3,0.418023
5,qsvm_fidelity,4,0.266583
5,qsvm_fidelity,5,0.341677
5,qsvm_fidelity,6,0.509387
5,qsvm_fidelity,7,0.295369
5,qsvm_projected,0,0.453066
5,qsvm_projected,1,0.264080
5,qsvm_projected,2,0.471840
5,qsvm_projected,3,0.481852
5,qsvm_projected,4,0.387985
5,qsvm_projected,5,0.401752
5,qsvm_projected,6,0.544431
5,qsvm_projected,7,0.322904
10,classical_rbf,0,0.490613
10,classical_rbf,1,0.496871
10,classical_rbf,2,0.573217
10,classical_rbf,3,0.574468
10,classical_rbf,4,0.563204
10,classical_rbf,5,0.508135
10,classical_rbf,6,0.418023
10,classical_rbf,7,0.474343
10,qsvm_fidelity,0,0.340426
10,qsvm_fidelity,1,0.394243
10,qsvm_fidelity,2,0.400501
10,qsvm_fidelity,3,0.428035
10,qsvm_fidelity,4,0.436796
10,qsvm_fidelity,5,0.521902
10,qsvm_fidelity,6,0.470588
10,qsvm_fidelity,7,0.533166
10,qsvm_projected,0,0.351690
10,qsvm_projected,1,0.490613
10,qsvm_projected,2,0.445557
10,qsvm_projected,3,0.392991
10,qsvm_projected,4,0.375469
10,qsvm_projected,5,0.538173
10,qsvm_projected,6,0.453066
10,qsvm_projected,7,0.282854
20,classical_rbf,0,0.580726
20,classical_rbf,1,0.565707
20,classical_rbf,2,0.558198
20,classical_rbf,3,0.529412
20,classical_rbf,4,0.615770
20,classical_rbf,5,0.624531
20,classical_rbf,6,0.499374
20,classical_rbf,7,0.608260
20,qsvm_fidelity,0,0.471840
20,qsvm_fidelity,1,0.461827
20,qsvm_fidelity,2,0.465582
20,qsvm_fidelity,3,0.536921
20,qsvm_fidelity,4,0.580726
20,qsvm_fidelity,5,0.541927
20,qsvm_fidelity,6,0.486859
20,qsvm_fidelity,7,0.593242
20,qsvm_projected,0,0.459324
20,qsvm_projected,1,0.555695
20,qsvm_projected,2,0.511890
20,qsvm_projected,3,0.555695
20,qsvm_projected,4,0.548185
20,qsvm_projected,5,0.438048
20,qsvm_projected,6,0.455569
20,qsvm_projected,7,0.520651
50,classical_rbf,0,0.619524
50,classical_rbf,1,0.637046
50,classical_rbf,2,0.650814
50,classical_rbf,3,0.628285
50,classical_rbf,4,0.618273
50,classical_rbf,5,0.662078
50,classical_rbf,6,0.620776
50,classical_rbf,7,0.604506
50,qsvm_fidelity,0,0.516896
50,qsvm_fidelity,1,0.553191
50,qsvm_fidelity,2,0.540676
50,qsvm_fidelity,3,0.538173
50,qsvm_fidelity,4,0.588235
50,qsvm_fidelity,5,0.556946
50,qsvm_fidelity,6,0.530663
50,qsvm_fidelity,7,0.564456
50,qsvm_projected,0,0.448060
50,qsvm_projected,1,0.470588
50,qsvm_projected,2,0.519399
50,qsvm_projected,3,0.481852
50,qsvm_projected,4,0.474343
50,qsvm_projected,5,0.503129
50,qsvm_projected,6,0.501877
50,qsvm_projected,7,0.531915
100,classical_rbf,0,0.648310
100,classical_rbf,1,0.692115
100,classical_rbf,2,0.655820
100,classical_rbf,3,0.685857
100,classical_rbf,4,0.693367
100,classical_rbf,5,0.673342
100,classical_rbf,6,0.680851
100,classical_rbf,7,0.682103
100,qsvm_fidelity,0,0.575720
100,qsvm_fidelity,1,0.549437
100,qsvm_fidelity,2,0.571965
100,qsvm_fidelity,3,0.581977
100,qsvm_fidelity,4,0.558198
100,qsvm_fidelity,5,0.545682
100,qsvm_fidelity,6,0.563204
100,qsvm_fidelity,7,0.550688
100,qsvm_projected,0,0.513141
100,qsvm_projected,1,0.612015
100,qsvm_projected,2,0.544431
100,qsvm_projected,3,0.550688
100,qsvm_projected,4,0.551940
100,qsvm_projected,5,0.495620
100,qsvm_projected,6,0.521902
100,qsvm_projected,7,0.536921
200,classical_rbf,0,0.712140
200,classical_rbf,1,0.728411
200,classical_rbf,2,0.707134
200,classical_rbf,3,0.759700
200,classical_rbf,4,0.712140
200,classical_rbf,5,0.735920
200,classical_rbf,6,0.718398
200,classical_rbf,7,0.742178
200,qsvm_fidelity,0,0.579474
200,qsvm_fidelity,1,0.576971
200,qsvm_fidelity,2,0.586984
200,qsvm_fidelity,3,0.595745
200,qsvm_fidelity,4,0.583229
200,qsvm_fidelity,5,0.579474
200,qsvm_fidelity,6,0.588235
200,qsvm_fidelity,7,0.602003
200,qsvm_projected,0,0.594493
200,qsvm_projected,1,0.553191
200,qsvm_projected,2,0.554443
200,qsvm_projected,3,0.652065
200,qsvm_projected,4,0.669587
200,qsvm_projected,5,0.560701
200,qsvm_projected,6,0.563204
200,qsvm_projected,7,0.590738
