n_per_class,method,seed,accuracy
2,classical_rbf,0,0.270338
2,classical_rbf,1,0.349186
2,classical_rbf,2,0.321652
2,classical_rbf,3,0.385482
2,classical_rbf,4,0.385482
2,classical_rbf,5,0.459324
2,classical_rbf,6,0.476846
2,classical_rbf,7,0.193992
2,qsvm_fidelity,0,0.330413
2,qsvm_fidelity,1,0.359199
2,qsvm_fidelity,2,0.254068
2,qsvm_fidelity,3,0.282854
2,qsvm_fidelity,4,0.397997
2,qsvm_fidelity,5,0.469337
2,qsvm_fidelity,6,0.464330
2,qsvm_fidelity,7,0.265332
2,qsvm_projected,0,0.266583
2,qsvm_projected,1,0.384230
2,qsvm_projected,2,0.305382
2,qsvm_projected,3,0.270338
2,qsvm_projected,4,0.329161
2,qsvm_projected,5,0.489362
2,qsvm_projected,6,0.272841
2,qsvm_projected,7,0.276596
5,classical_rbf,0,0.509387
5,classical_rbf,1,0.425532
5,classical_rbf,2,0.466834
5,classical_rbf,3,0.491865
5,classical_rbf,4,0.403004
5,classical_rbf,5,0.315394
5,classical_rbf,6,0.409262
5,classical_rbf,7,0.361702
5,qsvm_fidelity,0,0.494368
5,qsvm_fidelity,1,0.419274
5,qsvm_fidelity,2,0.419274
5,qsvm_fidelity,3,0.474343
5,qsvm_fidelity,4,0.455569
5,qsvm_fidelity,5,0.326658
5,qsvm_fidelity,6,0.509387
5,qsvm_fidelity,7,0.401752
5,qsvm_projected,0,0.382979
5,qsvm_projected,1,0.357947
5,qsvm_projected,2,0.418023
5,qsvm_projected,3,0.340426
5,qsvm_projected,4,0.408010
5,qsvm_projected,5,0.296621
5,qsvm_projected,6,0.379224
5,qsvm_projected,7,0.394243
10,classical_rbf,0,0.375469
10,classical_rbf,1,0.505632
10,classical_rbf,2,0.546934
10,classical_rbf,3,0.559449
10,classical_rbf,4,0.531915
10,classical_rbf,5,0.483104
10,classical_rbf,6,0.543179
10,classical_rbf,7,0.514393
10,qsvm_fidelity,0,0.520651
10,qsvm_fidelity,1,0.475594
10,qsvm_fidelity,2,0.479349
10,qsvm_fidelity,3,0.553191
10,qsvm_fidelity,4,0.545682
10,qsvm_fidelity,5,0.496871
10,qsvm_fidelity,6,0.536921
10,qsvm_fidelity,7,0.521902
10,qsvm_projected,0,0.428035
10,qsvm_projected,1,0.410513
10,qsvm_projected,2,0.466834
10,qsvm_projected,3,0.425532
10,qsvm_projected,4,0.382979
10,qsvm_projected,5,0.408010
10,qsvm_projected,6,0.414268
10,qsvm_projected,7,0.434293
20,classical_rbf,0,0.584481
20,classical_rbf,1,0.556946
20,classical_rbf,2,0.543179
20,classical_rbf,3,0.545682
20,classical_rbf,4,0.620776
20,classical_rbf,5,0.627034
20,classical_rbf,6,0.525657
20,classical_rbf,7,0.607009
20,qsvm_fidelity,0,0.549437
20,qsvm_fidelity,1,0.550688
20,qsvm_fidelity,2,0.485607
20,qsvm_fidelity,3,0.563204
20,qsvm_fidelity,4,0.593242
20,qsvm_fidelity,5,0.579474
20,qsvm_fidelity,6,0.520651
20,qsvm_fidelity,7,0.617021
20,qsvm_projected,0,0.454318
20,qsvm_projected,1,0.446809
20,qsvm_projected,2,0.413016
20,qsvm_projected,3,0.459324
20,qsvm_projected,4,0.501877
20,qsvm_projected,5,0.464330
20,qsvm_projected,6,0.444305
20,qsvm_projected,7,0.518148
50,classical_rbf,0,0.624531
50,classical_rbf,1,0.647059
50,classical_rbf,2,0.623279
50,classical_rbf,3,0.694618
50,classical_rbf,4,0.609512
50,classical_rbf,5,0.664581
50,classical_rbf,6,0.618273
50,classical_rbf,7,0.648310
50,qsvm_fidelity,0,0.610763
50,qsvm_fidelity,1,0.650814
50,qsvm_fidelity,2,0.599499
50,qsvm_fidelity,3,0.659574
50,qsvm_fidelity,4,0.637046
50,qsvm_fidelity,5,0.677096
50,qsvm_fidelity,6,0.633292
50,qsvm_fidelity,7,0.654568
50,qsvm_projected,0,0.495620
50,qsvm_projected,1,0.510638
50,qsvm_projected,2,0.499374
