n_per_class,method,seed,accuracy
2,classical_rbf,0,0.284105
2,classical_rbf,1,0.352941
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.441802
2,classical_rbf,4,0.389237
2,classical_rbf,5,0.450563
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.196496
2,qsvm_fidelity,0,0.290363
2,qsvm_fidelity,1,0.387985
2,qsvm_fidelity,2,0.316646
2,qsvm_fidelity,3,0.400501
2,qsvm_fidelity,4,0.391740
2,qsvm_fidelity,5,0.468085
2,qsvm_fidelity,6,0.508135
2,qsvm_fidelity,7,0.240300
2,qsvm_projected,0,0.226533
2,qsvm_projected,1,0.420526
2,qsvm_projected,2,0.321652
2,qsvm_projected,3,0.334168
2,qsvm_projected,4,0.330413
2,qsvm_projected,5,0.479349
2,qsvm_projected,6,0.274093
2,qsvm_projected,7,0.292866
5,classical_rbf,0,0.501877
5,classical_rbf,1,0.408010
5,classical_rbf,2,0.455569
5,classical_rbf,3,0.498123
5,classical_rbf,4,0.385482
5,classical_rbf,5,0.350438
5,classical_rbf,6,0.483104
5,classical_rbf,7,0.331665
5,qsvm_fidelity,0,0.474343
5,qsvm_fidelity,1,0.436796
5,qsvm_fidelity,2,0.478098
5,qsvm_fidelity,3,0.530663
5,qsvm_fidelity,4,0.443054
5,qsvm_fidelity,5,0.364205
5,qsvm_fidelity,6,0.525657
5,qsvm_fidelity,7,0.352941
5,qsvm_projected,0,0.408010
5,qsvm_projected,1,0.430538
5,qsvm_projected,2,0.285357
5,qsvm_projected,3,0.493116
5,qsvm_projected,4,0.394243
5,qsvm_projected,5,0.332916
5,qsvm_projected,6,0.468085
5,qsvm_projected,7,0.335419
10,classical_rbf,0,0.490613
10,classical_rbf,1,0.496871
10,classical_rbf,2,0.573217
10,classical_rbf,3,0.574468
10,classical_rbf,4,0.563204
10,classical_rbf,5,0.508135
10,classical_rbf,6,0.418023
10,classical_rbf,7,0.474343
10,qsvm_fidelity,0,0.523154
10,qsvm_fidelity,1,0.516896
10,qsvm_fidelity,2,0.571965
10,qsvm_fidelity,3,0.602003
10,qsvm_fidelity,4,0.525657
10,qsvm_fidelity,5,0.508135
10,qsvm_fidelity,6,0.580726
10,qsvm_fidelity,7,0.576971
10,qsvm_projected,0,0.420526
10,qsvm_projected,1,0.461827
10,qsvm_projected,2,0.441802
10,qsvm_projected,3,0.495620
10,qsvm_projected,4,0.458073
10,qsvm_projected,5,0.518148
10,qsvm_projected,6,0.568210
10,qsvm_projected,7,0.480601
20,classical_rbf,0,0.580726
20,classical_rbf,1,0.565707
20,classical_rbf,2,0.558198
20,classical_rbf,3,0.529412
20,classical_rbf,4,0.615770
20,classical_rbf,5,0.624531
20,classical_rbf,6,0.499374
20,classical_rbf,7,0.608260
20,qsvm_fidelity,0,0.583229
20,qsvm_fidelity,1,0.576971
20,qsvm_fidelity,2,0.518148
20,qsvm_fidelity,3,0.596996
20,qsvm_fidelity,4,0.635795
20,qsvm_fidelity,5,0.614518
20,qsvm_fidelity,6,0.578223
20,qsvm_fidelity,7,0.619524
20,qsvm_projected,0,0.441802
20,qsvm_projected,1,0.569462
20,qsvm_projected,2,0.491865
20,qsvm_projected,3,0.495620
20,qsvm_projected,4,0.533166
20,qsvm_projected,5,0.493116
20,qsvm_projected,6,0.535670
20,qsvm_projected,7,0.579474
50,classical_rbf,0,0.619524
50,classical_rbf,1,0.637046
50,classical_rbf,2,0.650814
50,classical_rbf,3,0.628285
50,classical_rbf,4,0.618273
50,classical_rbf,5,0.662078
50,classical_rbf,6,0.620776
50,classical_rbf,7,0.604506
50,qsvm_fidelity,0,0.624531
50,qsvm_fidelity,1,0.642053
50,qsvm_fidelity,2,0.675845
50,qsvm_fidelity,3,0.650814
50,qsvm_fidelity,4,0.627034
50,qsvm_fidelity,5,0.678348
50,qsvm_fidelity,6,0.642053
50,qsvm_fidelity,7,0.673342
50,qsvm_projected,0,0.553191
50,qsvm_projected,1,0.607009
50,qsvm_projected,2,0.593242
50,qsvm_projected,3,0.620776
50,qsvm_projected,4,0.561952
50,qsvm_projected,5,0.640801
50,qsvm_projected,6,0.622028
50,qsvm_projected,7,0.638298
100,classical_rbf,0,0.648310
100,classical_rbf,1,0.692115
100,classical_rbf,2,0.655820
100,classical_rbf,3,0.685857
100,classical_rbf,4,0.693367
100,classical_rbf,5,0.673342
100,classical_rbf,6,0.680851
100,classical_rbf,7,0.682103
100,qsvm_fidelity,0,0.669587
100,qsvm_fidelity,1,0.665832
100,qsvm_fidelity,2,0.660826
100,qsvm_fidelity,3,0.674593
100,qsvm_fidelity,4,0.687109
100,qsvm_fidelity,5,0.659574
100,qsvm_fidelity,6,0.670839
100,qsvm_fidelity,7,0.685857
100,qsvm_projected,0,0.632040
100,qsvm_projected,1,0.657071
100,qsvm_projected,2,0.617021
100,qsvm_projected,3,0.659574
100,qsvm_projected,4,0.650814
100,qsvm_projected,5,0.622028
100,qsvm_projected,6,0.648310
100,qsvm_projected,7,0.654568
200,classical_rbf,0,0.712140
200,classical_rbf,1,0.728411
200,classical_rbf,2,0.707134
200,classical_rbf,3,0.759700
200,classical_rbf,4,0.712140
200,classical_rbf,5,0.735920
200,classical_rbf,6,0.718398
200,classical_rbf,7,0.742178
200,qsvm_fidelity,0,0.698373
200,qsvm_fidelity,1,0.699625
200,qsvm_fidelity,2,0.699625
200,qsvm_fidelity,3,0.705882
200,qsvm_fidelity,4,0.709637
200,qsvm_fidelity,5,0.698373
200,qsvm_fidelity,6,0.698373
200,qsvm_fidelity,7,0.715895
200,qsvm_projected,0,0.680851
200,qsvm_projected,1,0.667084
200,qsvm_projected,2,0.682103
200,qsvm_projected,3,0.704631
200,qsvm_projected,4,0.703379
200,qsvm_projected,5,0.719650
200,qsvm_projected,6,0.664581
200,qsvm_projected,7,0.695870
