n_per_class,method,seed,accuracy
2,classical_rbf,0,0.284105
2,classical_rbf,1,0.352941
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.441802
2,classical_rbf,4,0.389237
2,classical_rbf,5,0.450563
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.196496
2,qsvm_fidelity,0,0.291615
2,qsvm_fidelity,1,0.342929
2,qsvm_fidelity,2,0.325407
2,qsvm_fidelity,3,0.394243
2,qsvm_fidelity,4,0.405507
2,qsvm_fidelity,5,0.440551
2,qsvm_fidelity,6,0.454318
2,qsvm_fidelity,7,0.204005
2,qsvm_projected,0,0.230288
2,qsvm_projected,1,0.367960
2,qsvm_projected,2,0.330413
2,qsvm_projected,3,0.366708
2,qsvm_projected,4,0.281602
2,qsvm_projected,5,0.419274
2,qsvm_projected,6,0.291615
2,qsvm_projected,7,0.214018
5,classical_rbf,0,0.501877
5,classical_rbf,1,0.408010
5,classical_rbf,2,0.455569
5,classical_rbf,3,0.498123
5,classical_rbf,4,0.385482
5,classical_rbf,5,0.350438
5,classical_rbf,6,0.483104
5,classical_rbf,7,0.331665
5,qsvm_fidelity,0,0.551940
5,qsvm_fidelity,1,0.443054
5,qsvm_fidelity,2,0.438048
5,qsvm_fidelity,3,0.444305
5,qsvm_fidelity,4,0.329161
5,qsvm_fidelity,5,0.357947
5,qsvm_fidelity,6,0.506884
5,qsvm_fidelity,7,0.314143
5,qsvm_projected,0,0.421777
5,qsvm_projected,1,0.411765
5,qsvm_projected,2,0.380476
5,qsvm_projected,3,0.479349
5,qsvm_projected,4,0.342929
5,qsvm_projected,5,0.458073
5,qsvm_projected,6,0.449312
5,qsvm_projected,7,0.347935
10,classical_rbf,0,0.490613
10,classical_rbf,1,0.496871
10,classical_rbf,2,0.573217
10,classical_rbf,3,0.574468
10,classical_rbf,4,0.563204
10,classical_rbf,5,0.508135
10,classical_rbf,6,0.418023
10,classical_rbf,7,0.474343
10,qsvm_fidelity,0,0.489362
10,qsvm_fidelity,1,0.504380
10,qsvm_fidelity,2,0.519399
10,qsvm_fidelity,3,0.528160
10,qsvm_fidelity,4,0.488110
10,qsvm_fidelity,5,0.519399
10,qsvm_fidelity,6,0.560701
10,qsvm_fidelity,7,0.543179
10,qsvm_projected,0,0.387985
10,qsvm_projected,1,0.505632
10,qsvm_projected,2,0.468085
10,qsvm_projected,3,0.464330
10,qsvm_projected,4,0.406758
10,qsvm_projected,5,0.454318
10,qsvm_projected,6,0.454318
10,qsvm_projected,7,0.524406
20,classical_rbf,0,0.580726
20,classical_rbf,1,0.565707
20,classical_rbf,2,0.558198
20,classical_rbf,3,0.529412
20,classical_rbf,4,0.615770
20,classical_rbf,5,0.624531
20,classical_rbf,6,0.499374
20,classical_rbf,7,0.608260
20,qsvm_fidelity,0,0.570713
20,qsvm_fidelity,1,0.529412
20,qsvm_fidelity,2,0.503129
20,qsvm_fidelity,3,0.541927
20,qsvm_fidelity,4,0.594493
20,qsvm_fidelity,5,0.585732
20,qsvm_fidelity,6,0.579474
20,qsvm_fidelity,7,0.594493
20,qsvm_projected,0,0.495620
20,qsvm_projected,1,0.600751
20,qsvm_projected,2,0.530663
20,qsvm_projected,3,0.569462
20,qsvm_projected,4,0.576971
20,qsvm_projected,5,0.586984
20,qsvm_projected,6,0.489362
20,qsvm_projected,7,0.565707
50,classical_rbf,0,0.619524
50,classical_rbf,1,0.637046
50,classical_rbf,2,0.650814
50,classical_rbf,3,0.628285
50,classical_rbf,4,0.618273
50,classical_rbf,5,0.662078
50,classical_rbf,6,0.620776
50,classical_rbf,7,0.604506
50,qsvm_fidelity,0,0.591990
50,qsvm_fidelity,1,0.612015
50,qsvm_fidelity,2,0.635795
50,qsvm_fidelity,3,0.614518
50,qsvm_fidelity,4,0.600751
50,qsvm_fidelity,5,0.596996
50,qsvm_fidelity,6,0.604506
50,qsvm_fidelity,7,0.620776
50,qsvm_projected,0,0.519399
50,qsvm_projected,1,0.584481
50,qsvm_projected,2,0.575720
50,qsvm_projected,3,0.561952
50,qsvm_projected,4,0.548185
50,qsvm_projected,5,0.595745
50,qsvm_projected,6,0.568210
50,qsvm_projected,7,0.639549
100,classical_rbf,0,0.648310
100,classical_rbf,1,0.692115
100,classical_rbf,2,0.655820
100,classical_rbf,3,0.685857
100,classical_rbf,4,0.693367
100,classical_rbf,5,0.673342
100,classical_rbf,6,0.680851
100,classical_rbf,7,0.682103
100,qsvm_fidelity,0,0.642053
100,qsvm_fidelity,1,0.627034
100,qsvm_fidelity,2,0.640801
100,qsvm_fidelity,3,0.640801
100,qsvm_fidelity,4,0.647059
100,qsvm_fidelity,5,0.614518
100,qsvm_fidelity,6,0.627034
100,qsvm_fidelity,7,0.654568
100,qsvm_projected,0,0.639549
100,qsvm_projected,1,0.670839
100,qsvm_projected,2,0.633292
100,qsvm_projected,3,0.596996
100,qsvm_projected,4,0.665832
100,qsvm_projected,5,0.565707
100,qsvm_projected,6,0.620776
100,qsvm_projected,7,0.622028
200,classical_rbf,0,0.712140
200,classical_rbf,1,0.728411
200,classical_rbf,2,0.707134
200,classical_rbf,3,0.759700
200,classical_rbf,4,0.712140
200,classical_rbf,5,0.735920
200,classical_rbf,6,0.718398
200,classical_rbf,7,0.742178
200,qsvm_fidelity,0,0.645807
200,qsvm_fidelity,1,0.638298
200,qsvm_fidelity,2,0.649562
200,qsvm_fidelity,3,0.664581
200,qsvm_fidelity,4,0.673342
200,qsvm_fidelity,5,0.643304
200,qsvm_fidelity,6,0.649562
200,qsvm_fidelity,7,0.669587
200,qsvm_projected,0,0.665832
200,qsvm_projected,1,0.678348
200,qsvm_projected,2,0.668335
200,qsvm_projected,3,0.682103
200,qsvm_projected,4,0.700876
200,qsvm_projected,5,0.689612
200,qsvm_projected,6,0.655820
200,qsvm_projected,7,0.713392
