n_per_class,method,seed,accuracy
2,classical_rbf,0,0.284105
2,classical_rbf,1,0.352941
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.441802
2,classical_rbf,4,0.389237
2,classical_rbf,5,0.450563
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.196496
2,qsvm_fidelity,0,0.309136
2,qsvm_fidelity,1,0.336671
2,qsvm_fidelity,2,0.317897
2,qsvm_fidelity,3,0.367960
2,qsvm_fidelity,4,0.371715
2,qsvm_fidelity,5,0.486859
2,qsvm_fidelity,6,0.441802
2,qsvm_fidelity,7,0.241552
2,qsvm_projected,0,0.259074
2,qsvm_projected,1,0.410513
2,qsvm_projected,2,0.319149
2,qsvm_projected,3,0.295369
2,qsvm_projected,4,0.357947
2,qsvm_projected,5,0.489362
2,qsvm_projected,6,0.285357
2,qsvm_projected,7,0.265332
5,classical_rbf,0,0.501877
5,classical_rbf,1,0.408010
5,classical_rbf,2,0.455569
5,classical_rbf,3,0.498123
5,classical_rbf,4,0.385482
5,classical_rbf,5,0.350438
5,classical_rbf,6,0.483104
5,classical_rbf,7,0.331665
5,qsvm_fidelity,0,0.451815
5,qsvm_fidelity,1,0.430538
5,qsvm_fidelity,2,0.381727
5,qsvm_fidelity,3,0.465582
5,qsvm_fidelity,4,0.465582
5,qsvm_fidelity,5,0.359199
5,qsvm_fidelity,6,0.436796
5,qsvm_fidelity,7,0.408010
5,qsvm_projected,0,0.405507
5,qsvm_projected,1,0.390488
5,qsvm_projected,2,0.394243
5,qsvm_projected,3,0.401752
5,qsvm_projected,4,0.433041
5,qsvm_projected,5,0.286608
5,qsvm_projected,6,0.382979
5,qsvm_projected,7,0.352941
10,classical_rbf,0,0.490613
10,classical_rbf,1,0.496871
10,classical_rbf,2,0.573217
10,classical_rbf,3,0.574468
10,classical_rbf,4,0.563204
10,classical_rbf,5,0.508135
10,classical_rbf,6,0.418023
10,classical_rbf,7,0.474343
10,qsvm_fidelity,0,0.524406
10,qsvm_fidelity,1,0.466834
10,qsvm_fidelity,2,0.531915
10,qsvm_fidelity,3,0.540676
10,qsvm_fidelity,4,0.546934
10,qsvm_fidelity,5,0.498123
10,qsvm_fidelity,6,0.573217
10,qsvm_fidelity,7,0.501877
10,qsvm_projected,0,0.401752
10,qsvm_projected,1,0.396746
10,qsvm_projected,2,0.395494
10,qsvm_projected,3,0.436796
10,qsvm_projected,4,0.465582
10,qsvm_projected,5,0.453066
10,qsvm_projected,6,0.428035
10,qsvm_projected,7,0.440551
20,classical_rbf,0,0.580726
20,classical_rbf,1,0.565707
20,classical_rbf,2,0.558198
20,classical_rbf,3,0.529412
20,classical_rbf,4,0.615770
20,classical_rbf,5,0.624531
20,classical_rbf,6,0.499374
20,classical_rbf,7,0.608260
20,qsvm_fidelity,0,0.530663
20,qsvm_fidelity,1,0.561952
20,qsvm_fidelity,2,0.471840
20,qsvm_fidelity,3,0.556946
20,qsvm_fidelity,4,0.604506
20,qsvm_fidelity,5,0.548185
20,qsvm_fidelity,6,0.528160
20,qsvm_fidelity,7,0.613267
20,qsvm_projected,0,0.445557
20,qsvm_projected,1,0.491865
20,qsvm_projected,2,0.401752
20,qsvm_projected,3,0.460576
20,qsvm_projected,4,0.496871
20,qsvm_projected,5,0.419274
20,qsvm_projected,6,0.428035
20,qsvm_projected,7,0.495620
50,classical_rbf,0,0.619524
50,classical_rbf,1,0.637046
50,classical_rbf,2,0.650814
50,classical_rbf,3,0.628285
50,classical_rbf,4,0.618273
50,classical_rbf,5,0.662078
50,classical_rbf,6,0.620776
50,classical_rbf,7,0.604506
50,qsvm_fidelity,0,0.640801
50,qsvm_fidelity,1,0.623279
50,qsvm_fidelity,2,0.628285
50,qsvm_fidelity,3,0.649562
50,qsvm_fidelity,4,0.652065
50,qsvm_fidelity,5,0.662078
50,qsvm_fidelity,6,0.623279
50,qsvm_fidelity,7,0.650814
50,qsvm_projected,0,0.513141
50,qsvm_projected,1,0.509387
50,qsvm_projected,2,0.560701
50,qsvm_projected,3,0.570713
50,qsvm_projected,4,0.500626
50,qsvm_projected,5,0.511890
50,qsvm_projected,6,0.508135
50,qsvm_projected,7,0.530663
100,classical_rbf,0,0.648310
100,classical_rbf,1,0.692115
100,classical_rbf,2,0.655820
100,classical_rbf,3,0.685857
100,classical_rbf,4,0.693367
100,classical_rbf,5,0.673342
100,classical_rbf,6,0.680851
100,classical_rbf,7,0.682103
100,qsvm_fidelity,0,0.663329
100,qsvm_fidelity,1,0.670839
100,qsvm_fidelity,2,0.675845
100,qsvm_fidelity,3,0.680851
100,qsvm_fidelity,4,0.688360
100,qsvm_fidelity,5,0.677096
100,qsvm_fidelity,6,0.663329
100,qsvm_fidelity,7,0.660826
100,qsvm_projected,0,0.519399
100,qsvm_projected,1,0.576971
100,qsvm_projected,2,0.578223
100,qsvm_projected,3,0.573217
100,qsvm_projected,4,0.573217
100,qsvm_projected,5,0.553191
100,qsvm_projected,6,0.609512
100,qsvm_projected,7,0.484355
200,classical_rbf,0,0.712140
200,classical_rbf,1,0.728411
200,classical_rbf,2,0.707134
200,classical_rbf,3,0.759700
200,classical_rbf,4,0.712140
200,classical_rbf,5,0.735920
200,classical_rbf,6,0.718398
200,classical_rbf,7,0.742178
200,qsvm_fidelity,0,0.700876
200,qsvm_fidelity,1,0.702128
200,qsvm_fidelity,2,0.695870
200,qsvm_fidelity,3,0.708385
200,qsvm_fidelity,4,0.690864
200,qsvm_fidelity,5,0.707134
200,qsvm_fidelity,6,0.705882
200,qsvm_fidelity,7,0.709637
200,qsvm_projected,0,0.596996
200,qsvm_projected,1,0.584481
200,qsvm_projected,2,0.593242
200,qsvm_projected,3,0.605757
200,qsvm_projected,4,0.623279
200,qsvm_projected,5,0.638298
200,qsvm_projected,6,0.607009
200,qsvm_projected,7,0.647059
