n_per_class,method,seed,accuracy
2,classical_rbf,0,0.269086
2,classical_rbf,1,0.341677
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.384230
2,classical_rbf,4,0.429287
2,classical_rbf,5,0.423029
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.202753
2,qsvm_fidelity,0,0.259074
2,qsvm_fidelity,1,0.347935
2,qsvm_fidelity,2,0.299124
2,qsvm_fidelity,3,0.340426
2,qsvm_fidelity,4,0.404255
2,qsvm_fidelity,5,0.411765
2,qsvm_fidelity,6,0.382979
2,qsvm_fidelity,7,0.266583
2,qsvm_projected,0,0.279099
2,qsvm_projected,1,0.396746
2,qsvm_projected,2,0.350438
2,qsvm_projected,3,0.350438
2,qsvm_projected,4,0.377972
2,qsvm_projected,5,0.425532
2,qsvm_projected,6,0.290363
2,qsvm_projected,7,0.349186
5,classical_rbf,0,0.446809
5,classical_rbf,1,0.464330
5,classical_rbf,2,0.428035
5,classical_rbf,3,0.471840
5,classical_rbf,4,0.359199
5,classical_rbf,5,0.340426
5,classical_rbf,6,0.501877
5,classical_rbf,7,0.316646
5,qsvm_fidelity,0,0.413016
5,qsvm_fidelity,1,0.350438
5,qsvm_fidelity,2,0.344180
5,qsvm_fidelity,3,0.453066
5,qsvm_fidelity,4,0.372966
5,qsvm_fidelity,5,0.330413
5,qsvm_fidelity,6,0.400501
5,qsvm_fidelity,7,0.389237
5,qsvm_projected,0,0.332916
5,qsvm_projected,1,0.399249
5,qsvm_projected,2,0.375469
5,qsvm_projected,3,0.391740
5,qsvm_projected,4,0.364205
5,qsvm_projected,5,0.387985
5,qsvm_projected,6,0.419274
5,qsvm_projected,7,0.403004
10,classical_rbf,0,0.453066
10,classical_rbf,1,0.504380
10,classical_rbf,2,0.494368
10,classical_rbf,3,0.556946
10,classical_rbf,4,0.456821
10,classical_rbf,5,0.488110
10,classical_rbf,6,0.519399
10,classical_rbf,7,0.476846
10,qsvm_fidelity,0,0.456821
10,qsvm_fidelity,1,0.475594
10,qsvm_fidelity,2,0.390488
10,qsvm_fidelity,3,0.475594
10,qsvm_fidelity,4,0.449312
10,qsvm_fidelity,5,0.458073
10,qsvm_fidelity,6,0.463079
10,qsvm_fidelity,7,0.461827
10,qsvm_projected,0,0.400501
10,qsvm_projected,1,0.413016
10,qsvm_projected,2,0.362954
10,qsvm_projected,3,0.451815
10,qsvm_projected,4,0.454318
10,qsvm_projected,5,0.459324
10,qsvm_projected,6,0.471840
10,qsvm_projected,7,0.379224
20,classical_rbf,0,0.564456
20,classical_rbf,1,0.509387
20,classical_rbf,2,0.506884
20,classical_rbf,3,0.549437
20,classical_rbf,4,0.608260
20,classical_rbf,5,0.604506
20,classical_rbf,6,0.513141
20,classical_rbf,7,0.539424
20,qsvm_fidelity,0,0.480601
20,qsvm_fidelity,1,0.484355
20,qsvm_fidelity,2,0.435544
20,qsvm_fidelity,3,0.483104
20,qsvm_fidelity,4,0.548185
20,qsvm_fidelity,5,0.489362
20,qsvm_fidelity,6,0.508135
20,qsvm_fidelity,7,0.535670
20,qsvm_projected,0,0.458073
20,qsvm_projected,1,0.468085
20,qsvm_projected,2,0.449312
20,qsvm_projected,3,0.445557
20,qsvm_projected,4,0.464330
20,qsvm_projected,5,0.429287
20,qsvm_projected,6,0.424280
20,qsvm_projected,7,0.491865
50,classical_rbf,0,0.581977
50,classical_rbf,1,0.551940
50,classical_rbf,2,0.576971
50,classical_rbf,3,0.633292
50,classical_rbf,4,0.563204
50,classical_rbf,5,0.603254
50,classical_rbf,6,0.593242
50,classical_rbf,7,0.617021
50,qsvm_fidelity,0,0.541927
50,qsvm_fidelity,1,0.561952
50,qsvm_fidelity,2,0.510638
50,qsvm_fidelity,3,0.594493
50,qsvm_fidelity,4,0.548185
50,qsvm_fidelity,5,0.543179
50,qsvm_fidelity,6,0.569462
50,qsvm_fidelity,7,0.574468
50,qsvm_projected,0,0.411765
50,qsvm_projected,1,0.468085
50,qsvm_projected,2,0.460576
50,qsvm_projected,3,0.521902
50,qsvm_projected,4,0.493116
50,qsvm_projected,5,0.513141
50,qsvm_projected,6,0.508135
50,qsvm_projected,7,0.453066
100,classical_rbf,0,0.635795
100,classical_rbf,1,0.604506
100,classical_rbf,2,0.614518
100,classical_rbf,3,0.620776
100,classical_rbf,4,0.645807
100,classical_rbf,5,0.625782
100,classical_rbf,6,0.630788
100,classical_rbf,7,0.598248
100,qsvm_fidelity,0,0.583229
100,qsvm_fidelity,1,0.594493
100,qsvm_fidelity,2,0.598248
100,qsvm_fidelity,3,0.627034
100,qsvm_fidelity,4,0.603254
100,qsvm_fidelity,5,0.600751
100,qsvm_fidelity,6,0.594493
100,qsvm_fidelity,7,0.598248
100,qsvm_projected,0,0.535670
100,qsvm_projected,1,0.576971
100,qsvm_projected,2,0.516896
100,qsvm_projected,3,0.555695
100,qsvm_projected,4,0.528160
100,qsvm_projected,5,0.575720
100,qsvm_projected,6,0.525657
100,qsvm_projected,7,0.535670
200,classical_rbf,0,0.677096
200,classical_rbf,1,0.674593
200,classical_rbf,2,0.678348
200,classical_rbf,3,0.674593
200,classical_rbf,4,0.678348
200,classical_rbf,5,0.638298
200,classical_rbf,6,0.649562
200,classical_rbf,7,0.660826
200,qsvm_fidelity,0,0.630788
200,qsvm_fidelity,1,0.614518
200,qsvm_fidelity,2,0.627034
200,qsvm_fidelity,3,0.637046
200,qsvm_fidelity,4,0.619524
200,qsvm_fidelity,5,0.604506
200,qsvm_fidelity,6,0.609512
200,qsvm_fidelity,7,0.634543
200,qsvm_projected,0,0.600751
200,qsvm_projected,1,0.491865
200,qsvm_projected,2,0.566959
200,qsvm_projected,3,0.573217
200,qsvm_projected,4,0.528160
200,qsvm_projected,5,0.555695
200,qsvm_projected,6,0.551940
200,qsvm_projected,7,0.566959
