n_per_class,method,seed,accuracy
2,classical_rbf,0,0.284105
2,classical_rbf,1,0.352941
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.441802
2,classical_rbf,4,0.389237
2,classical_rbf,5,0.450563
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.196496
2,qsvm_fidelity,0,0.310388
2,qsvm_fidelity,1,0.262829
2,qsvm_fidelity,2,0.299124
2,qsvm_fidelity,3,0.341677
2,qsvm_fidelity,4,0.351690
2,qsvm_fidelity,5,0.400501
2,qsvm_fidelity,6,0.384230
2,qsvm_fidelity,7,0.212766
2,qsvm_projected,0,0.259074
2,qsvm_projected,1,0.377972
2,qsvm_projected,2,0.364205
2,qsvm_projected,3,0.345432
2,qsvm_projected,4,0.394243
2,qsvm_projected,5,0.365457
2,qsvm_projected,6,0.309136
2,qsvm_projected,7,0.224030
5,classical_rbf,0,0.501877
5,classical_rbf,1,0.408010
5,classical_rbf,2,0.455569
5,classical_rbf,3,0.498123
5,classical_rbf,4,0.385482
5,classical_rbf,5,0.350438
5,classical_rbf,6,0.483104
5,classical_rbf,7,0.331665
5,qsvm_fidelity,0,0.347935
5,qsvm_fidelity,1,0.404255
5,qsvm_fidelity,2,0.344180
5,qsvm_fidelity,3,0.391740
5,qsvm_fidelity,4,0.411765
5,qsvm_fidelity,5,0.350438
5,qsvm_fidelity,6,0.335419
5,qsvm_fidelity,7,0.375469
5,qsvm_projected,0,0.349186
5,qsvm_projected,1,0.281602
5,qsvm_projected,2,0.359199
5,qsvm_projected,3,0.355444
5,qsvm_projected,4,0.367960
5,qsvm_projected,5,0.294118
5,qsvm_projected,6,0.346683
5,qsvm_projected,7,0.384230
10,classical_rbf,0,0.490613
10,classical_rbf,1,0.496871
10,classical_rbf,2,0.573217
10,classical_rbf,3,0.574468
10,classical_rbf,4,0.563204
10,classical_rbf,5,0.508135
10,classical_rbf,6,0.418023
10,classical_rbf,7,0.474343
10,qsvm_fidelity,0,0.475594
10,qsvm_fidelity,1,0.443054
10,qsvm_fidelity,2,0.511890
10,qsvm_fidelity,3,0.455569
10,qsvm_fidelity,4,0.526909
10,qsvm_fidelity,5,0.414268
10,qsvm_fidelity,6,0.474343
10,qsvm_fidelity,7,0.441802
10,qsvm_projected,0,0.381727
10,qsvm_projected,1,0.399249
10,qsvm_projected,2,0.361702
10,qsvm_projected,3,0.314143
10,qsvm_projected,4,0.413016
10,qsvm_projected,5,0.408010
10,qsvm_projected,6,0.433041
10,qsvm_projected,7,0.424280
20,classical_rbf,0,0.580726
20,classical_rbf,1,0.565707
20,classical_rbf,2,0.558198
20,classical_rbf,3,0.529412
20,classical_rbf,4,0.615770
20,classical_rbf,5,0.624531
20,classical_rbf,6,0.499374
20,classical_rbf,7,0.608260
20,qsvm_fidelity,0,0.490613
20,qsvm_fidelity,1,0.499374
20,qsvm_fidelity,2,0.450563
20,qsvm_fidelity,3,0.478098
20,qsvm_fidelity,4,0.510638
20,qsvm_fidelity,5,0.471840
20,qsvm_fidelity,6,0.443054
20,qsvm_fidelity,7,0.546934
20,qsvm_projected,0,0.446809
20,qsvm_projected,1,0.443054
20,qsvm_projected,2,0.468085
20,qsvm_projected,3,0.401752
20,qsvm_projected,4,0.476846
20,qsvm_projected,5,0.390488
20,qsvm_projected,6,0.423029
20,qsvm_projected,7,0.396746
50,classical_rbf,0,0.619524
50,classical_rbf,1,0.637046
50,classical_rbf,2,0.650814
50,classical_rbf,3,0.628285
50,classical_rbf,4,0.618273
50,classical_rbf,5,0.662078
50,classical_rbf,6,0.620776
50,classical_rbf,7,0.604506
50,qsvm_fidelity,0,0.549437
50,qsvm_fidelity,1,0.570713
50,qsvm_fidelity,2,0.560701
50,qsvm_fidelity,3,0.581977
50,qsvm_fidelity,4,0.612015
50,qsvm_fidelity,5,0.594493
50,qsvm_fidelity,6,0.561952
50,qsvm_fidelity,7,0.589487
50,qsvm_projected,0,0.445557
50,qsvm_projected,1,0.489362
50,qsvm_projected,2,0.455569
50,qsvm_projected,3,0.500626
50,qsvm_projected,4,0.400501
50,qsvm_projected,5,0.456821
50,qsvm_projected,6,0.503129
50,qsvm_projected,7,0.473091
100,classical_rbf,0,0.648310
100,classical_rbf,1,0.692115
100,classical_rbf,2,0.655820
100,classical_rbf,3,0.685857
100,classical_rbf,4,0.693367
100,classical_rbf,5,0.673342
100,classical_rbf,6,0.680851
100,classical_rbf,7,0.682103
100,qsvm_fidelity,0,0.617021
100,qsvm_fidelity,1,0.628285
100,qsvm_fidelity,2,0.618273
100,qsvm_fidelity,3,0.628285
100,qsvm_fidelity,4,0.630788
100,qsvm_fidelity,5,0.648310
100,qsvm_fidelity,6,0.627034
100,qsvm_fidelity,7,0.615770
100,qsvm_projected,0,0.474343
100,qsvm_projected,1,0.493116
100,qsvm_projected,2,0.489362
100,qsvm_projected,3,0.490613
100,qsvm_projected,4,0.471840
100,qsvm_projected,5,0.490613
100,qsvm_projected,6,0.513141
100,qsvm_projected,7,0.444305
200,classical_rbf,0,0.712140
200,classical_rbf,1,0.728411
200,classical_rbf,2,0.707134
200,classical_rbf,3,0.759700
200,classical_rbf,4,0.712140
200,classical_rbf,5,0.735920
200,classical_rbf,6,0.718398
200,classical_rbf,7,0.742178
200,qsvm_fidelity,0,0.677096
200,qsvm_fidelity,1,0.663329
200,qsvm_fidelity,2,0.659574
200,qsvm_fidelity,3,0.657071
200,qsvm_fidelity,4,0.655820
200,qsvm_fidelity,5,0.665832
200,qsvm_fidelity,6,0.644556
200,qsvm_fidelity,7,0.665832
200,qsvm_projected,0,0.514393
200,qsvm_projected,1,0.515645
200,qsvm_projected,2,0.536921
200,qsvm_projected,3,0.536921
200,qsvm_projected,4,0.530663
200,qsvm_projected,5,0.546934
200,qsvm_projected,6,0.535670
200,qsvm_projected,7,0.533166
