n_per_class,method,seed,accuracy
2,classical_rbf,0,0.291615
2,classical_rbf,1,0.342929
2,classical_rbf,2,0.337922
2,classical_rbf,3,0.334168
2,classical_rbf,4,0.374218
2,classical_rbf,5,0.423029
2,classical_rbf,6,0.419274
2,classical_rbf,7,0.200250
2,qsvm_fidelity,0,0.284105
2,qsvm_fidelity,1,0.280350
2,qsvm_fidelity,2,0.337922
2,qsvm_fidelity,3,0.304130
2,qsvm_fidelity,4,0.364205
2,qsvm_fidelity,5,0.404255
2,qsvm_fidelity,6,0.327910
2,qsvm_fidelity,7,0.204005
2,qsvm_projected,0,0.301627
2,qsvm_projected,1,0.331665
2,qsvm_projected,2,0.336671
2,qsvm_projected,3,0.346683
2,qsvm_projected,4,0.341677
2,qsvm_projected,5,0.433041
2,qsvm_projected,6,0.317897
2,qsvm_projected,7,0.259074
5,classical_rbf,0,0.433041
5,classical_rbf,1,0.357947
5,classical_rbf,2,0.425532
5,classical_rbf,3,0.485607
5,classical_rbf,4,0.301627
5,classical_rbf,5,0.336671
5,classical_rbf,6,0.464330
5,classical_rbf,7,0.322904
5,qsvm_fidelity,0,0.332916
5,qsvm_fidelity,1,0.376721
5,qsvm_fidelity,2,0.315394
5,qsvm_fidelity,3,0.416771
5,qsvm_fidelity,4,0.267835
5,qsvm_fidelity,5,0.345432
5,qsvm_fidelity,6,0.280350
5,qsvm_fidelity,7,0.322904
5,qsvm_projected,0,0.374218
5,qsvm_projected,1,0.360451
5,qsvm_projected,2,0.365457
5,qsvm_projected,3,0.405507
5,qsvm_projected,4,0.346683
5,qsvm_projected,5,0.345432
5,qsvm_projected,6,0.421777
5,qsvm_projected,7,0.381727
10,classical_rbf,0,0.438048
10,classical_rbf,1,0.484355
10,classical_rbf,2,0.546934
10,classical_rbf,3,0.496871
10,classical_rbf,4,0.463079
10,classical_rbf,5,0.504380
10,classical_rbf,6,0.526909
10,classical_rbf,7,0.534418
10,qsvm_fidelity,0,0.418023
10,qsvm_fidelity,1,0.428035
10,qsvm_fidelity,2,0.409262
10,qsvm_fidelity,3,0.434293
10,qsvm_fidelity,4,0.456821
10,qsvm_fidelity,5,0.430538
10,qsvm_fidelity,6,0.445557
10,qsvm_fidelity,7,0.428035
10,qsvm_projected,0,0.339174
10,qsvm_projected,1,0.405507
10,qsvm_projected,2,0.316646
10,qsvm_projected,3,0.419274
10,qsvm_projected,4,0.434293
10,qsvm_projected,5,0.366708
10,qsvm_projected,6,0.416771
10,qsvm_projected,7,0.394243
20,classical_rbf,0,0.486859
20,classical_rbf,1,0.523154
20,classical_rbf,2,0.431790
20,classical_rbf,3,0.528160
20,classical_rbf,4,0.565707
20,classical_rbf,5,0.555695
20,classical_rbf,6,0.530663
20,classical_rbf,7,0.508135
20,qsvm_fidelity,0,0.473091
20,qsvm_fidelity,1,0.479349
20,qsvm_fidelity,2,0.395494
20,qsvm_fidelity,3,0.465582
20,qsvm_fidelity,4,0.518148
20,qsvm_fidelity,5,0.411765
20,qsvm_fidelity,6,0.431790
20,qsvm_fidelity,7,0.486859
20,qsvm_projected,0,0.434293
20,qsvm_projected,1,0.446809
20,qsvm_projected,2,0.401752
20,qsvm_projected,3,0.418023
20,qsvm_projected,4,0.423029
20,qsvm_projected,5,0.401752
20,qsvm_projected,6,0.423029
20,qsvm_projected,7,0.405507
50,classical_rbf,0,0.549437
50,classical_rbf,1,0.521902
50,classical_rbf,2,0.550688
50,classical_rbf,3,0.573217
50,classical_rbf,4,0.553191
50,classical_rbf,5,0.559449
50,classical_rbf,6,0.590738
50,classical_rbf,7,0.614518
50,qsvm_fidelity,0,0.496871
50,qsvm_fidelity,1,0.509387
50,qsvm_fidelity,2,0.518148
50,qsvm_fidelity,3,0.536921
50,qsvm_fidelity,4,0.535670
50,qsvm_fidelity,5,0.544431
50,qsvm_fidelity,6,0.555695
50,qsvm_fidelity,7,0.499374
50,qsvm_projected,0,0.450563
50,qsvm_projected,1,0.488110
50,qsvm_projected,2,0.453066
50,qsvm_projected,3,0.489362
50,qsvm_projected,4,0.453066
50,qsvm_projected,5,0.423029
50,qsvm_projected,6,0.551940
50,qsvm_projected,7,0.471840
100,classical_rbf,0,0.607009
100,classical_rbf,1,0.584481
100,classical_rbf,2,0.566959
100,classical_rbf,3,0.615770
100,classical_rbf,4,0.585732
100,classical_rbf,5,0.546934
100,classical_rbf,6,0.546934
100,classical_rbf,7,0.578223
100,qsvm_fidelity,0,0.541927
100,qsvm_fidelity,1,0.568210
100,qsvm_fidelity,2,0.538173
100,qsvm_fidelity,3,0.575720
100,qsvm_fidelity,4,0.573217
100,qsvm_fidelity,5,0.555695
100,qsvm_fidelity,6,0.551940
100,qsvm_fidelity,7,0.560701
100,qsvm_projected,0,0.486859
100,qsvm_projected,1,0.545682
100,qsvm_projected,2,0.471840
100,qsvm_projected,3,0.533166
100,qsvm_projected,4,0.465582
100,qsvm_projected,5,0.516896
100,qsvm_projected,6,0.506884
100,qsvm_projected,7,0.441802
200,classical_rbf,0,0.591990
200,classical_rbf,1,0.583229
200,classical_rbf,2,0.599499
200,classical_rbf,3,0.605757
200,classical_rbf,4,0.607009
200,classical_rbf,5,0.609512
200,classical_rbf,6,0.578223
200,classical_rbf,7,0.605757
200,qsvm_fidelity,0,0.586984
200,qsvm_fidelity,1,0.566959
200,qsvm_fidelity,2,0.588235
200,qsvm_fidelity,3,0.595745
200,qsvm_fidelity,4,0.588235
200,qsvm_fidelity,5,0.574468
200,qsvm_fidelity,6,0.558198
200,qsvm_fidelity,7,0.581977
200,qsvm_projected,0,0.556946
200,qsvm_projected,1,0.500626
200,qsvm_projected,2,0.526909
200,qsvm_projected,3,0.521902
200,qsvm_projected,4,0.514393
200,qsvm_projected,5,0.516896
200,qsvm_projected,6,0.501877
200,qsvm_projected,7,0.500626
